No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,L1,L2,  Jackpot,   Wins
1105, Tue,24,Apr,2018, 28,44,30,23,20,03,07, 121328187,    1
1104, Fri,20,Apr,2018, 44,39,03,25,16,11,07, 114010000,    0
1103, Tue,17,Apr,2018, 39,15,33,27,50,06,04,  22289222,    0
1102, Fri,13,Apr,2018, 48,50,34,25,05,07,06,  14740700,    0
1101, Tue,10,Apr,2018, 48,14,39,46,27,11,12,  14829100,    1
1100, Fri, 6,Apr,2018, 45,47,29,33,01,04,08,  66429609,    1
1099, Tue, 3,Apr,2018, 43,03,40,16,08,08,05,  59156133,    0
1098, Fri,30,Mar,2018, 35,47,28,17,12,07,11,  51598288,    0
1097, Tue,27,Mar,2018, 46,40,20,23,17,09,10,  40629122,    0
1096, Fri,23,Mar,2018, 46,05,50,07,11,11,08,  32771739,    0
1095, Tue,20,Mar,2018, 44,39,29,26,37,09,11,  22265427,    0
1094, Fri,16,Mar,2018, 31,04,27,24,17,11,10,  14992300,    0
1093, Tue,13,Mar,2018, 11,09,13,33,49,12,06,  54643467,    1
1092, Fri, 9,Mar,2018, 44,09,14,21,32,12,01,  45846428,    0
1091, Tue, 6,Mar,2018, 26,44,20,31,15,02,09,  34392263,    0
1090, Fri, 2,Mar,2018, 02,07,34,48,45,01,12,  26096672,    0
1089, Tue,27,Feb,2018, 48,31,03,41,50,11,08,  14956600,    0
1088, Fri,23,Feb,2018, 18,17,28,47,10,03,07,  77798898,    2
1087, Tue,20,Feb,2018, 06,25,14,19,29,11,05, 142157622,    0
1086, Fri,16,Feb,2018, 23,32,50,12,10,10,04, 133365227,    0
1085, Tue,13,Feb,2018, 13,44,10,21,17,10,01, 123305866,    0
1084, Fri, 9,Feb,2018, 38,22,31,44,36,11,01, 114539544,    0
1083, Tue, 6,Feb,2018, 08,28,17,38,34,06,12, 104423108,    0
1082, Fri, 2,Feb,2018, 36,39,34,14,48,02,03,  95972671,    0
1081, Tue,30,Jan,2018, 11,15,35,27,21,05,04,  86173606,    0
1080, Fri,26,Jan,2018, 28,15,24,48,06,09,04,  79917041,    0
1079, Tue,23,Jan,2018, 05,23,08,09,24,07,08,  71872851,    0
1078, Fri,19,Jan,2018, 44,03,17,50,08,02,07,  66212715,    0
1077, Tue,16,Jan,2018, 46,34,31,20,23,03,12,  54434216,    0
1076, Fri,12,Jan,2018, 45,30,21,13,23,06,04,  45394452,    0
1075, Tue, 9,Jan,2018, 06,49,38,12,15,09,02,  33484288,    0
1074, Fri, 5,Jan,2018, 41,38,20,05,02,04,08,  25687589,    0
1073, Tue, 2,Jan,2018, 20,10,21,48,28,01,08,  15084100,    0
1072, Fri,29,Dec,2017, 04,48,08,22,23,01,12,  34588069,    1
1071, Tue,26,Dec,2017, 30,04,17,44,43,10,02,  21951423,    0
1070, Fri,22,Dec,2017, 05,30,24,31,43,03,06,  15089200,    0
1069, Tue,19,Dec,2017, 15,38,46,08,30,04,07, 119876081,    1
1068, Fri,15,Dec,2017, 25,42,30,50,31,11,02, 111674784,    0
1067, Tue,12,Dec,2017, 39,20,37,50,44,04,08, 101938670,    0
1066, Fri, 8,Dec,2017, 34,32,22,30,04,04,03,  94304641,    0
1065, Tue, 5,Dec,2017, 48,11,44,43,36,02,07,  85788778,    0
1064, Fri, 1,Dec,2017, 05,46,29,35,24,11,12,  79577293,    0
1063, Tue,28,Nov,2017, 42,01,12,06,18,02,07,  71866782,    0
1062, Fri,24,Nov,2017, 28,24,50,19,30,10,03,  66743323,    0
1061, Tue,21,Nov,2017, 31,28,10,02,14,07,05,  54215274,    0
1060, Fri,17,Nov,2017, 35,36,26,42,20,05,12,  46135062,    0
1059, Tue,14,Nov,2017, 16,40,39,41,14,08,10,  34502478,    0
1058, Fri,10,Nov,2017, 37,36,29,22,13,01,09,  26361644,    0
1057, Tue, 7,Nov,2017, 37,19,41,20,07,12,02,  14970200,    0
1056, Fri, 3,Nov,2017, 41,05,33,17,12,04,09,  25476778,    1
1055, Tue,31,Oct,2017, 46,12,43,36,01,03,05,  14919200,    0
