No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,N6,BN,   Jackpot, Wins,   Machine  ,Set
2348, Sat,23,Jun,2018, 25,31,15,01,10,47,53,  17196314,    1,   Merlin   ,  6 
2347, Wed,20,Jun,2018, 43,22,15,35,26,41,01,  14768674,    0,   Merlin   ,  8 
2346, Sat,16,Jun,2018, 41,10,37,36,46,18,08,  13641074,    0,   Merlin   ,  5 
2345, Wed,13,Jun,2018, 38,45,33,22,05,15,11,  10785901,    0,   Arthur   ,  6 
2344, Sat, 9,Jun,2018, 17,58,55,20,03,56,57,   9267495,    0,   Arthur   ,  8 
2343, Wed, 6,Jun,2018, 22,35,58,42,12,31,55,   6501413,    0,   Arthur   ,  5 
2342, Sat, 2,Jun,2018, 58,04,43,32,51,38,10,   5085086,    0,   Arthur   ,  6 
2341, Wed,30,May,2018, 32,08,04,05,26,39,16,   1816584,    0,   Arthur   ,  5 
2340, Sat,26,May,2018, 40,14,19,29,09,39,03,   4603805,    2,   Arthur   ,  7 
2339, Wed,23,May,2018, 45,01,17,32,36,15,05,   6438596,    0,   Arthur   ,  8 
2338, Sat,19,May,2018, 48,52,01,34,36,03,22,   5057464,    0,   Arthur   ,  6 
2337, Wed,16,May,2018, 22,48,54,32,04,26,57,   1909658,    0,   Arthur   ,  7 
2336, Sat,12,May,2018, 35,01,30,21,15,44,05,  21044592,    1,   Arthur   ,  8 
2335, Wed, 9,May,2018, 18,25,59,30,56,21,05,  18418082,    0,   Arthur   ,  6 
2334, Sat, 5,May,2018, 02,09,52,56,14,49,41,  17250153,    0,   Merlin   ,  6 
2333, Wed, 2,May,2018, 48,04,26,10,08,38,41,  14638953,    0,   Merlin   ,  5 
2332, Sat,28,Apr,2018, 38,43,11,44,03,37,20,  13477493,    0,   Arthur   ,  8 
2331, Wed,25,Apr,2018, 41,18,50,14,40,05,12,  10509160,    0,   Merlin   ,  7 
2330, Sat,21,Apr,2018, 57,12,09,08,20,02,38,   8949271,    0,   Arthur   ,  5 
2329, Wed,18,Apr,2018, 59,39,41,04,21,11,58,   6265709,    0,   Arthur   ,  7 
2328, Sat,14,Apr,2018, 10,42,46,48,40,47,38,   4933456,    0,   Arthur   ,  8 
2327, Wed,11,Apr,2018, 52,56,21,59,32,25,28,   1795273,    0,   Arthur   ,  6 
2326, Sat, 7,Apr,2018, 31,01,33,55,52,04,13,   9561853,    1,   Merlin   ,  1 
2325, Wed, 4,Apr,2018, 26,43,38,01,15,09,14,   6664434,    0,   Arthur   ,  5 
2324, Sat,31,Mar,2018, 08,26,20,35,36,06,39,   5199304,    0,   Merlin   ,  2 
2323, Wed,28,Mar,2018, 07,52,54,06,15,02,45,   1855785,    0,   Arthur   ,  3 
2322, Sat,24,Mar,2018, 59,43,36,11,03,16,49,   9339858,    1,   Arthur   ,  1 
2321, Wed,21,Mar,2018, 54,55,02,44,35,51,45,   6530267,    0,   Merlin   ,  4 
2320, Sat,17,Mar,2018, 13,08,07,45,24,46,39,   5060421,    0,   Arthur   ,  2 
2319, Wed,14,Mar,2018, 47,19,45,38,07,53,15,   1813255,    0,   Arthur   ,  3 
2318, Sat,10,Mar,2018, 53,36,59,03,07,42,50,   7988062,    1,   Arthur   ,  2 
2317, Wed, 7,Mar,2018, 57,55,10,08,22,37,29,   5120878,    0,   Merlin   ,  4 
2316, Sat, 3,Mar,2018, 15,50,19,29,42,20,36,   3183498,    0,   Arthur   ,  3 
2315, Wed,28,Feb,2018, 33,09,30,27,10,45,29,   6700919,    1,   Merlin   ,  2 
2314, Sat,24,Feb,2018, 35,48,02,40,11,55,07,   5283524,    0,   Merlin   ,  1 
2313, Wed,21,Feb,2018, 53,35,25,29,30,14,38,   1957996,    0,   Merlin   ,  4 
2312, Sat,17,Feb,2018, 05,08,53,38,09,10,56,  18139352,    1,  Lancelot  ,  4 
2311, Wed,14,Feb,2018, 33,48,02,46,08,50,05,  15575114,    0,  Guinevere ,  3 
2310, Sat,10,Feb,2018, 51,03,12,58,29,15,13,  14449368,    0,  Guinevere ,  1 
2309, Wed, 7,Feb,2018, 19,29,40,05,45,34,57,  11404833,    0,  Guinevere ,  2 
2308, Sat, 3,Feb,2018, 29,26,49,08,58,27,38,   9825247,    0,  Guinevere ,  2 
2307, Wed,31,Jan,2018, 19,21,05,44,42,57,18,   6851294,    0,  Lancelot  ,  3 
2306, Sat,27,Jan,2018, 33,43,49,29,56,45,16,   5351174,    0,  Guinevere ,  4 
2305, Wed,24,Jan,2018, 59,48,44,22,39,01,05,   1992347,    0,  Guinevere ,  1 
2304, Sat,20,Jan,2018, 31,28,02,29,10,19,47,   8613200,    2,  Guinevere ,  3 
2303, Wed,17,Jan,2018, 56,30,55,33,43,37,46,  14643856,    0,  Lancelot  ,  4 
2302, Sat,13,Jan,2018, 18,46,07,06,09,35,05,  12937095,    0,  Lancelot  ,  1 
2301, Wed,10,Jan,2018, 11,55,29,27,40,06,45,   9933511,    0,  Lancelot  ,  2 
2300, Sat, 6,Jan,2018, 18,31,32,28,44,51,50,   8337171,    0,  Lancelot  ,  4 
2299, Wed, 3,Jan,2018, 30,20,11,19,49,35,44,   5421027,    0,  Lancelot  ,  1 
2298, Sat,30,Dec,2017, 42,58,55,37,47,33,34,   3472243,    0,  Guinevere ,  3 
