DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,Raffles,DrawNumber
30-Sep-2017,50,30,13,54,21,18,20,7,Lancelot,"AQUA22022937;AQUA07348399,AQUA37190844,AQUA43843313,AQUA50989564,GOLD27053737,GOLD46335901,JADE91218112,LIME13163161,LIME28716499,NAVY04736875,NAVY53402524,PINK56363591,PINK70001402,PINK74029019,PLUM70719264,ROSE54134342,RUBY85534906,RUBY99108375,TEAL55270171,TEAL70753230",2272
27-Sep-2017,30,45,47,55,35,52,40,8,Guinevere,"RUBY09531962;AQUA32427799,AQUA63006178,BLUE25101184,BLUE84953279,BLUE98709654,GOLD30316471,GOLD59380402,GREY17115137,LIME49339989,LIME62580562,PINK10261773,PINK24639856,PLUM76148418,PLUM96404971,ROSE07388992,ROSE34708210,RUBY39129765,RUBY97563807,TEAL57226042,TEAL79313107",2271
23-Sep-2017,17,18,56,26,39,54,57,5,Lancelot,"ROSE42148489;AQUA28675829,AQUA36046041,AQUA43845825,BLUE00100125,BLUE27676158,GREY14270857,GREY99267600,JADE40363420,JADE60071619,JADE94534677,LIME68310179,NAVY27911413,NAVY37241064,PINK37331179,PINK54624073,PLUM14169534,ROSE52608523,RUBY16356237,RUBY41150707,TEAL88463126",2270
20-Sep-2017,25,8,20,58,50,51,45,5,Lancelot,"AQUA09035409;AQUA28123899,AQUA79848456,BLUE43200099,GOLD14435232,GOLD37202816,GREY62011215,JADE52079815,LIME44912350,LIME48737188,NAVY95291804,PINK03096657,PINK21812651,PLUM83813883,ROSE39987278,RUBY67116423,RUBY83891441,TEAL16783771,TEAL21787494,TEAL34722281,TEAL78597274",2269
16-Sep-2017,31,37,6,49,1,50,38,8,Guinevere,"LIME08454359;AQUA11978531,GOLD26329719,GREY30545602,JADE28853190,JADE31329552,JADE31412602,JADE33935178,JADE37112762,JADE71413506,NAVY66257262,PINK08924960,PINK65972913,PLUM12191364,PLUM21588771,PLUM46817135,PLUM96886161,ROSE28907291,RUBY18823732,RUBY95363040,TEAL43313656",2268
13-Sep-2017,21,56,4,11,14,29,27,7,Lancelot,"TEAL49968618;AQUA26276415,AQUA37015918,AQUA43196940,GOLD74250093,JADE01647429,JADE19770817,JADE42349017,JADE42435439,JADE59607231,JADE89117564,LIME40594334,NAVY57981080,ROSE00028979,ROSE14506352,ROSE27296722,ROSE37274225,ROSE86195447,ROSE88071814,RUBY49206301,TEAL05843195",2267
09-Sep-2017,4,49,56,58,13,7,6,6,Lancelot,"JADE78467490;AQUA79572747,BLUE04511606,GOLD96712777,GREY57391071,GREY90370360,JADE84008207,JADE88835050,JADE89643778,LIME04522046,LIME44505324,LIME46219867,NAVY90084798,PINK42117956,PLUM03538502,PLUM12325437,PLUM31922297,ROSE11664975,ROSE30591753,TEAL24970224,TEAL40071542",2266
06-Sep-2017,52,50,16,30,34,53,46,5,Lancelot,"NAVY12954706;AQUA23859441,AQUA35749311,BLUE67456693,GOLD66248020,GREY33821935,GREY34897873,GREY38658985,PLUM33035311,PLUM38245506,PLUM56553727,PLUM57443379,PLUM88946991,ROSE77900292,RUBY47094874,RUBY70415645,TEAL11133891,TEAL30505918,TEAL43030463,TEAL74430343,TEAL76299044",2265
02-Sep-2017,30,41,35,33,40,59,8,7,Lancelot,"LIME15200521;AQUA54034931,BLUE41220795,BLUE92634541,GREY21396620,JADE10159609,JADE84546645,NAVY01070806,NAVY10906777,NAVY64492150,PLUM25317308,PLUM86329111,ROSE12300691,ROSE27025346,ROSE88827889,RUBY16019175,RUBY96759320,TEAL27805497,TEAL41705773,TEAL51835303,TEAL71258362",2264
30-Aug-2017,59,34,46,58,42,57,38,8,Lancelot,"BLUE31086423;BLUE35205276,BLUE43388665,GOLD33353563,GREY81672540,GREY90943670,JADE78835987,LIME55640780,LIME84381997,LIME90030920,NAVY39260508,PINK72375874,PLUM41312283,PLUM54397377,PLUM56736525,ROSE76948000,RUBY31636162,RUBY69193684,RUBY72253716,RUBY99715142,TEAL08879108",2263
26-Aug-2017,20,41,34,42,52,25,58,6,Lancelot,"GOLD52714665;AQUA15660329,BLUE06494675,BLUE66335605,GOLD84608168,JADE24608625,JADE68077441,NAVY61289000,NAVY74804319,PINK24909275,PINK63830811,PLUM94073563,PLUM94400995,ROSE04881909,ROSE45933770,ROSE49609170,RUBY02665450,RUBY55894574,RUBY75371660,RUBY78707230,TEAL67956200",2262
23-Aug-2017,44,16,8,56,41,21,45,7,Lancelot,"GREY78465572;AQUA16864050,AQUA87507171,AQUA95272597,BLUE84987258,GOLD78473403,LIME28541272,NAVY25035711,NAVY40173820,NAVY40995888,PINK76882110,PLUM22781983,PLUM23176797,PLUM92277186,ROSE43335635,ROSE50692688,RUBY68538843,RUBY72171361,TEAL54493325,TEAL55688748,TEAL91824728",2261
19-Aug-2017,55,52,25,46,12,39,3,8,Merlin,"GREY17654802;BLUE74604726,GOLD10645071,GOLD25308494,GOLD41290779,GOLD47566415,GREY55325491,GREY61399018,JADE16138954,JADE95622621,LIME19591922,LIME38361117,LIME84406660,LIME97481992,NAVY04218129,PINK57806454,PLUM00708578,PLUM72985188,ROSE98328140,RUBY01779972,TEAL55486668",2260
16-Aug-2017,28,7,45,17,44,43,54,8,Merlin,"RUBY14463782;AQUA32132084,BLUE02606711,BLUE26466534,BLUE26909077,BLUE63194408,GOLD13677817,GOLD40145941,GREY15968802,GREY98598095,JADE64284775,JADE82407803,PINK30044937,PINK43106569,PINK55168481,PLUM37972506,ROSE93761160,RUBY16924962,RUBY29639264,TEAL10224826,TEAL88152483",2259
12-Aug-2017,56,52,27,55,10,49,17,6,Merlin,"PLUM81946458;AQUA80720369,AQUA96126872,BLUE18304024,BLUE44127433,GOLD43319308,GOLD49861656,GREY02924414,JADE36581339,JADE84296741,LIME44417252,LIME80682031,NAVY88968093,NAVY90344109,ROSE00292484,ROSE24693469,ROSE48207416,ROSE57827253,ROSE77996556,TEAL20300698,TEAL66216806",2258
09-Aug-2017,9,51,34,59,5,25,44,5,Arthur,"LIME62942560;BLUE13899393,BLUE58095923,BLUE63076090,BLUE89250253,GOLD49363030,GOLD53064287,GOLD69501250,GREY19179684,JADE46967718,JADE53865180,LIME19992111,PINK87962189,PLUM56966564,PLUM67385950,PLUM87848543,ROSE06038135,ROSE47508164,ROSE82313388,TEAL37429151,TEAL94912446",2257
05-Aug-2017,14,49,30,56,24,45,27,8,Merlin,"GOLD62196676;AQUA99421273,BLUE52970525,GOLD61665275,GOLD85100078,GREY90677484,GREY90971943,JADE23619649,JADE65141375,JADE88385359,LIME82080631,PINK89887995,PLUM18258277,PLUM37926089,PLUM73970532,PLUM99186143,ROSE40486804,ROSE91037798,RUBY20964258,RUBY58356904,RUBY93875055",2256
02-Aug-2017,4,24,6,35,45,52,8,7,Arthur,"JADE48905878;BLUE06842577,GOLD99680385,GREY64656463,GREY76253465,JADE59518337,JADE62742012,JADE69682083,LIME53351722,LIME59991601,LIME72184761,LIME90629542,NAVY14586349,NAVY55913457,PLUM08628172,PLUM54636335,ROSE56329820,ROSE81466411,RUBY23571715,RUBY70486253,RUBY96035559",2255
29-Jul-2017,26,59,56,55,1,41,36,6,Arthur,"RUBY26125902;AQUA23686988,AQUA47863691,AQUA48397726,AQUA71535340,BLUE03438821,BLUE26668330,GOLD66275460,GREY10209396,JADE96428596,NAVY31909430,PINK40335903,PINK71332682,PLUM72252877,ROSE10421435,ROSE42259009,RUBY03375040,RUBY22602067,RUBY94990722,TEAL31754168,TEAL38221405",2254
26-Jul-2017,55,5,29,56,10,35,30,5,Arthur,"BLUE97647611;AQUA79911852,BLUE87078308,GOLD84440482,GREY93285656,GREY93402720,JADE41996085,JADE95065257,LIME11094693,NAVY32941002,NAVY82529453,PINK92867764,PLUM18490759,ROSE06900082,ROSE26156468,RUBY39771647,RUBY92378634,RUBY95665615,TEAL22415541,TEAL44657765,TEAL65840325",2253
22-Jul-2017,13,47,21,41,35,5,23,7,Arthur,"BLUE36199606;AQUA15415183,AQUA29375983,BLUE84858267,GOLD78993859,JADE36062491,JADE51968147,JADE66503831,LIME47198467,NAVY61570065,PINK22188440,PINK40978353,PLUM25114508,PLUM70797669,ROSE66259778,RUBY08551561,RUBY18682872,RUBY39263467,RUBY79820227,TEAL01627153,TEAL61363962",2252
19-Jul-2017,14,16,2,25,6,36,42,5,Merlin,"BLUE57027696;AQUA36845067,BLUE24554992,BLUE42405957,BLUE45304592,GOLD12599969,GOLD17474891,GREY04622111,JADE57429284,LIME07362274,NAVY00313093,NAVY11943296,NAVY81485028,PINK19186745,PLUM50146267,PLUM79736942,ROSE27175642,ROSE63147788,ROSE97604352,TEAL39347265,TEAL64672440",2251
15-Jul-2017,56,8,7,47,14,58,23,6,Merlin,"JADE95951053;AQUA14840912,AQUA86689536,GOLD56460282,JADE03934424,LIME37994252,LIME53132371,LIME83461038,NAVY07244542,NAVY07422525,NAVY13931884,NAVY70669064,NAVY72646869,PINK23804518,PLUM02544730,PLUM33083942,ROSE93044115,RUBY35277672,TEAL26714351,TEAL44468139,TEAL59555533",2250
12-Jul-2017,19,38,40,7,14,45,18,3,Merlin,"GREY46515148;AQUA73229956,GREY17160993,JADE19866445,JADE89520446,LIME54381327,LIME89521379,NAVY06654860,NAVY42280863,NAVY44264592,PINK10590002,PINK30250326,PINK77879020,PINK78262743,PLUM84648078,ROSE51552369,RUBY08574859,RUBY15971884,RUBY60162296,RUBY60789912,TEAL56117655",2249
08-Jul-2017,27,1,32,50,11,18,25,8,Merlin,"NAVY55751997;AQUA24526629,AQUA55820945,BLUE31256434,BLUE99223765,GOLD24770480,GOLD35353093,GOLD44439915,GOLD81587668,GREY06271099,GREY15674188,GREY95047371,JADE25837385,LIME80629212,LIME93034673,NAVY31192173,PLUM66272834,PLUM83903351,ROSE23705946,ROSE98716325,TEAL73414584",2248
05-Jul-2017,25,57,16,29,27,18,4,7,Merlin,"PINK28961706;AQUA19113437,AQUA48458243,BLUE64907391,GOLD67746402,GOLD69572162,GREY36522779,GREY68286050,GREY91600003,JADE97670988,LIME42337161,LIME54373981,PLUM25736384,PLUM40852386,PLUM77809532,ROSE00894858,ROSE18129108,ROSE44439669,ROSE75545495,RUBY55717833,TEAL38248437",2247
01-Jul-2017,19,36,52,54,2,59,6,6,Merlin,"NAVY19781354;BLUE01670907,BLUE29572447,GREY57866347,JADE96627190,LIME18013751,LIME23618613,LIME66148589,NAVY66535545,PINK16892697,PINK59627823,PLUM26864755,PLUM88680192,PLUM97744052,ROSE64683929,ROSE76613446,RUBY23172609,RUBY54705422,TEAL21985104,TEAL40116936,TEAL63577457",2246
28-Jun-2017,10,23,56,2,21,54,44,5,Merlin,"BLUE71036064;AQUA18022758,AQUA29897093,GOLD41060150,GREY45755154,GREY94197385,JADE15849663,JADE64773119,JADE90805810,LIME26750549,LIME52224267,LIME91253277,NAVY09987279,PINK14480182,PLUM15869265,PLUM60858309,ROSE29277913,ROSE30228335,RUBY58922973,TEAL50429676,TEAL90997751",2245
24-Jun-2017,26,39,42,54,16,4,24,4,Merlin,"PLUM46738983;AQUA34620221,BLUE55571605,GOLD86060011,GREY52430848,JADE79089992,LIME02554589,NAVY78403679,PINK07018126,PINK62716288,PINK81667768,PINK84745667,PLUM72883316,PLUM87942328,ROSE23782720,ROSE59051450,ROSE67824194,ROSE90164511,RUBY18022533,RUBY59288192,TEAL50609592",2244
21-Jun-2017,5,43,3,1,15,11,48,1,Merlin,"NAVY79305898;BLUE40924554,BLUE46588116,GOLD15516342,GOLD48608675,GOLD50904578,GREY83770305,JADE38834632,JADE75175101,LIME20663299,LIME61040343,LIME72431406,PINK05904984,PINK14955719,PINK94228264,PLUM39351810,ROSE40509597,ROSE60975802,RUBY24732556,TEAL02786234,TEAL07473600",2243
17-Jun-2017,24,44,1,16,11,20,42,2,Arthur,"BLUE08183672;AQUA14659177,AQUA43249230,BLUE02970947,BLUE68850459,GOLD10469662,GOLD12859116,GREY01356022,GREY49038341,JADE17403703,JADE25204705,LIME37098739,LIME38861535,NAVY44808348,PINK29370385,PINK58667982,PINK81888249,PINK84524718,PLUM47801635,PLUM95180861,TEAL84596406",2242
14-Jun-2017,2,14,23,46,34,4,45,3,Merlin,"PINK70496197;AQUA27206301,AQUA29508933,AQUA85658871,GREY51217767,GREY79687187,JADE46593089,LIME87427621,NAVY09407183,NAVY13304154,NAVY69987212,PLUM14722455,PLUM35113635,ROSE60669178,ROSE61342823,ROSE76581554,RUBY45000614,RUBY68037096,TEAL44422602,TEAL57371189,TEAL85259092",2241
10-Jun-2017,36,18,35,28,50,10,2,4,Arthur,"AQUA75740675;AQUA76076158,AQUA95572949,GOLD98153705,GREY20762266,GREY73104528,LIME79856270,NAVY09929247,NAVY17609602,NAVY32253437,NAVY44249375,NAVY50818911,PLUM47863027,PLUM58715252,ROSE49418833,ROSE61401485,RUBY23648157,RUBY51374743,RUBY71501632,TEAL29200834,TEAL61063908",2240
