No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,N6,BN,   Jackpot, Wins,   Machine  ,Set
2331, Wed,25,Apr,2018, 41,18,50,14,40,05,12,  10509160,    0,   Merlin   ,  7 
2330, Sat,21,Apr,2018, 57,12,09,08,20,02,38,   8949271,    0,   Arthur   ,  5 
2329, Wed,18,Apr,2018, 59,39,41,04,21,11,58,   6265709,    0,   Arthur   ,  7 
2328, Sat,14,Apr,2018, 10,42,46,48,40,47,38,   4933456,    0,   Arthur   ,  8 
2327, Wed,11,Apr,2018, 52,56,21,59,32,25,28,   1795273,    0,   Arthur   ,  6 
2326, Sat, 7,Apr,2018, 31,01,33,55,52,04,13,   9561853,    1,   Merlin   ,  1 
2325, Wed, 4,Apr,2018, 26,43,38,01,15,09,14,   6664434,    0,   Arthur   ,  5 
2324, Sat,31,Mar,2018, 08,26,20,35,36,06,39,   5199304,    0,   Merlin   ,  2 
2323, Wed,28,Mar,2018, 07,52,54,06,15,02,45,   1855785,    0,   Arthur   ,  3 
2322, Sat,24,Mar,2018, 59,43,36,11,03,16,49,   9339858,    1,   Arthur   ,  1 
2321, Wed,21,Mar,2018, 54,55,02,44,35,51,45,   6530267,    0,   Merlin   ,  4 
2320, Sat,17,Mar,2018, 13,08,07,45,24,46,39,   5060421,    0,   Arthur   ,  2 
2319, Wed,14,Mar,2018, 47,19,45,38,07,53,15,   1813255,    0,   Arthur   ,  3 
2318, Sat,10,Mar,2018, 53,36,59,03,07,42,50,   7988062,    1,   Arthur   ,  2 
2317, Wed, 7,Mar,2018, 57,55,10,08,22,37,29,   5120878,    0,   Merlin   ,  4 
2316, Sat, 3,Mar,2018, 15,50,19,29,42,20,36,   3183498,    0,   Arthur   ,  3 
2315, Wed,28,Feb,2018, 33,09,30,27,10,45,29,   6700919,    1,   Merlin   ,  2 
2314, Sat,24,Feb,2018, 35,48,02,40,11,55,07,   5283524,    0,   Merlin   ,  1 
2313, Wed,21,Feb,2018, 53,35,25,29,30,14,38,   1957996,    0,   Merlin   ,  4 
2312, Sat,17,Feb,2018, 05,08,53,38,09,10,56,  18139352,    1,  Lancelot  ,  4 
2311, Wed,14,Feb,2018, 33,48,02,46,08,50,05,  15575114,    0,  Guinevere ,  3 
2310, Sat,10,Feb,2018, 51,03,12,58,29,15,13,  14449368,    0,  Guinevere ,  1 
2309, Wed, 7,Feb,2018, 19,29,40,05,45,34,57,  11404833,    0,  Guinevere ,  2 
2308, Sat, 3,Feb,2018, 29,26,49,08,58,27,38,   9825247,    0,  Guinevere ,  2 
2307, Wed,31,Jan,2018, 19,21,05,44,42,57,18,   6851294,    0,  Lancelot  ,  3 
2306, Sat,27,Jan,2018, 33,43,49,29,56,45,16,   5351174,    0,  Guinevere ,  4 
2305, Wed,24,Jan,2018, 59,48,44,22,39,01,05,   1992347,    0,  Guinevere ,  1 
2304, Sat,20,Jan,2018, 31,28,02,29,10,19,47,   8613200,    2,  Guinevere ,  3 
2303, Wed,17,Jan,2018, 56,30,55,33,43,37,46,  14643856,    0,  Lancelot  ,  4 
2302, Sat,13,Jan,2018, 18,46,07,06,09,35,05,  12937095,    0,  Lancelot  ,  1 
2301, Wed,10,Jan,2018, 11,55,29,27,40,06,45,   9933511,    0,  Lancelot  ,  2 
2300, Sat, 6,Jan,2018, 18,31,32,28,44,51,50,   8337171,    0,  Lancelot  ,  4 
2299, Wed, 3,Jan,2018, 30,20,11,19,49,35,44,   5421027,    0,  Lancelot  ,  1 
2298, Sat,30,Dec,2017, 42,58,55,37,47,33,34,   3472243,    0,  Guinevere ,  3 
2297, Wed,27,Dec,2017, 57,18,58,59,48,36,50,  24430520,    0,  Guinevere ,  4 
2296, Sat,23,Dec,2017, 56,44,36,47,32,20,41,  22331857,    0,  Lancelot  ,  2 
2295, Wed,20,Dec,2017, 28,46,41,20,38,10,16,  18614720,    0,  Lancelot  ,  1 
2294, Sat,16,Dec,2017, 25,35,45,57,22,46,14,  17371932,    0,  Guinevere ,  3 
2293, Wed,13,Dec,2017, 06,23,58,14,43,24,40,  14949598,    0,  Lancelot  ,  3 
2292, Sat, 9,Dec,2017, 46,54,39,32,37,02,19,  13940220,    0,  Lancelot  ,  4 
2291, Wed, 6,Dec,2017, 50,24,52,19,31,03,16,  10999536,    0,  Lancelot  ,  6 
2290, Sat, 2,Dec,2017, 09,50,13,32,04,46,52,   9462662,    0,  Lancelot  ,  2 
2289, Wed,29,Nov,2017, 58,43,20,32,53,42,08,   6649202,    0,  Lancelot  ,  4 
2288, Sat,25,Nov,2017, 04,45,56,54,07,29,08,   5145663,    0,  Guinevere ,  1 
2287, Wed,22,Nov,2017, 27,17,36,37,16,02,42,   1855244,    0,  Lancelot  ,  3 
2286, Sat,18,Nov,2017, 36,58,54,01,24,20,11,  18188218,    1,  Guinevere ,  2 
2285, Wed,15,Nov,2017, 22,11,36,02,59,51,07,  15654281,    0,  Lancelot  ,  1 
2284, Sat,11,Nov,2017, 16,27,41,49,30,04,54,  14450835,    0,  Lancelot  ,  7 
2283, Wed, 8,Nov,2017, 25,42,32,49,17,02,04,  11389307,    0,  Guinevere ,  5 
2282, Sat, 4,Nov,2017, 35,20,29,53,23,06,57,   9812847,    0,  Guinevere ,  6 
2281, Wed, 1,Nov,2017, 19,18,14,13,36,21,53,   6867823,    0,  Lancelot  ,  8 
