No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,L1,L2,  Jackpot,   Wins
1037, Tue,29,Aug,2017,4,12,15,32,38,1,5,15767500,0
1036, Fri,25,Aug,2017,1,5,7,15,47,9,12,15735200,1
1035, Tue,22,Aug,2017,3,10,12,17,27,3,5,40510685,1
1034, Fri,18,Aug,2017,2,24,39,42,45,2,8,32520149,0
1033, Tue,15,Aug,2017,10,14,30,35,46,4,10,22117219,0
1032, Fri,11,Aug,2017,18,28,39,46,48,5,12,15449600,0
1031, Tue,8,Aug,2017,15,25,26,40,41,4,5,33089644,1
1030, Fri,4,Aug,2017,29,30,36,40,41,2,9,25529274,0
1029, Tue,1,Aug,2017,14,21,24,29,30,8,10,15208200,0
1028, Fri,28,Jul,2017,5,9,29,31,41,2,4,51702050,1
1027, Tue,25,Jul,2017,12,14,43,44,48,2,11,40445365,0
1026, Fri,21,Jul,2017,1,8,9,26,49,5,9,32874047,0
1025, Tue,18,Jul,2017,1,25,27,41,45,5,7,22265567,0
1024, Fri,14,Jul,2017,11,14,20,21,47,7,10,14900500,0
1023, Tue,11,Jul,2017,14,22,26,42,50,8,10,15189500,1
1022, Fri,7,Jul,2017,11,20,35,37,45,3,6,25663715,1
1021, Tue,4,Jul,2017,10,22,25,37,49,5,8,14943000,0
1020, Fri,30,Jun,2017,17,35,39,47,50,6,8,87570000,1
1019, Tue,27,Jun,2017,9,17,21,28,45,1,3,70127201,0
1018, Fri,23,Jun,2017,3,4,21,31,38,3,7,64082100,0
1017, Tue,20,Jun,2017,11,18,26,43,44,8,10,52594374,0
1016, Fri,16,Jun,2017,15,17,38,41,42,9,12,44150291,0
1015, Tue,13,Jun,2017,3,12,22,27,49,4,11,33506785,0
1014, Fri,9,Jun,2017,9,20,27,39,43,10,11,25684767,0
1013, Tue,6,Jun,2017,20,22,25,37,40,3,7,14866500,0
1012, Fri,2,Jun,2017,8,10,24,33,42,3,9,134808762,1
1011, Tue,30,May,2017,7,12,27,38,48,6,9,121851562,0
1010, Fri,26,May,2017,5,7,26,36,39,2,10,113475960,0
1009, Tue,23,May,2017,8,15,25,27,42,1,4,102101430,0
1008, Fri,19,May,2017,9,11,12,19,30,4,9,93927013,0
1007, Tue,16,May,2017,8,11,15,20,30,3,8,84319251,0
1006, Fri,12,May,2017,2,20,28,29,44,3,9,76813393,0
1005, Tue,9,May,2017,8,12,16,22,26,6,7,68249429,0
1004, Fri,5,May,2017,3,7,30,35,43,1,3,63162406,0
1003, Tue,2,May,2017,6,19,23,25,27,11,12,55848627,0
1002, Fri,28,Apr,2017,14,20,25,30,39,2,8,48309589,0
1001, Tue,25,Apr,2017,9,11,19,32,43,3,9,38059267,0
1000, Fri,21,Apr,2017,2,13,16,22,49,4,5,30153753,0
999, Tue,18,Apr,2017,17,22,31,38,45,5,12,20624201,0
998, Fri,14,Apr,2017,4,14,20,23,33,6,10,14422800,0
997, Tue,11,Apr,2017,5,21,22,31,49,2,8,70887897,1
996, Fri,7,Apr,2017,2,10,19,35,50,6,7,65668144,0
995, Tue,4,Apr,2017,1,9,24,33,34,2,6,58513592,0
994, Fri,31,Mar,2017,17,24,26,28,45,4,12,49849009,0
993, Tue,28,Mar,2017,9,13,31,33,46,6,10,39630350,0
992, Fri,24,Mar,2017,2,17,21,27,34,5,9,31918888,0
991, Tue,21,Mar,2017,1,20,23,44,47,4,11,21818290,0
990, Fri,17,Mar,2017,6,10,19,29,36,3,9,14742400,0
989, Tue,14,Mar,2017,3,5,21,36,44,3,6,70386999,1
988, Fri,10,Mar,2017,31,36,38,47,49,8,11,64931865,0
987, Tue,7,Mar,2017,6,37,41,48,50,4,5,51910688,0
986, Fri,3,Mar,2017,2,11,29,30,47,1,12,43311596,0
985, Tue,28,Feb,2017,10,20,31,35,42,2,12,31923442,0
984, Fri,24,Feb,2017,2,4,13,22,43,8,9,24449171,0
983, Tue,21,Feb,2017,13,19,41,45,49,3,4,14383700,0
982, Fri,17,Feb,2017,19,25,33,36,48,2,9,14509500,1
981, Tue,14,Feb,2017,2,10,24,40,44,3,10,19987961,2
980, Fri,10,Feb,2017,7,21,26,35,43,2,9,32204121,0
979, Tue,7,Feb,2017,4,10,31,38,44,8,10,21809971,0
978, Fri,3,Feb,2017,3,4,15,46,50,5,9,14686300,0
977, Tue,31,Jan,2017,3,4,17,23,44,6,9,22233944,1
976, Fri,27,Jan,2017,17,20,28,45,48,5,9,14495900,0
975, Tue,24,Jan,2017,1,5,7,17,23,3,8,76052175,1
974, Fri,20,Jan,2017,10,17,27,31,49,3,5,70419453,0
973, Tue,17,Jan,2017,4,16,25,43,47,2,10,62366698,0
972, Fri,13,Jan,2017,3,7,16,26,50,4,7,53936316,0
971, Tue,10,Jan,2017,2,11,29,35,44,4,9,40259650,0
970, Fri,6,Jan,2017,10,14,18,21,49,9,11,31898943,0
969, Tue,3,Jan,2017,19,23,27,34,49,1,11,21591336,0
