DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,Raffles,DrawNumber
31-May-2017,18,23,52,59,28,56,36,3,Arthur,"PLUM59468290;AQUA50499120,GOLD32267683,GOLD70758302,GREY22638990,GREY87406957,LIME14743388,LIME50414164,LIME60265784,NAVY16743755,NAVY24652187,NAVY29699971,NAVY78526212,PINK26283933,PINK38666356,ROSE34111630,RUBY10147383,RUBY15485465,RUBY76015544,TEAL00706424,TEAL65050049",2237
27-May-2017,39,31,41,54,20,22,33,4,Arthur,"LIME42004016;AQUA07082485,AQUA11683108,AQUA14225018,AQUA38701417,BLUE04817521,BLUE29933408,BLUE41302219,GOLD31757542,GOLD46461366,GREY75570372,JADE44149462,LIME24225119,LIME27429336,NAVY45667360,PLUM18443959,ROSE09376735,ROSE28672879,ROSE47132532,RUBY42967189,TEAL19958922",2236
24-May-2017,45,59,30,44,3,55,37,1,Arthur,"RUBY05295155;AQUA03062286,AQUA28933316,AQUA56203373,AQUA57611907,AQUA66293781,BLUE79562508,BLUE93757513,GOLD82263996,GOLD88367941,GREY44714042,LIME13248733,LIME38338100,LIME44483817,NAVY27396283,PINK56129389,PLUM82111480,PLUM84136020,ROSE19661992,RUBY13463484,TEAL73739961",2235
20-May-2017,29,43,7,53,8,13,16,1,Merlin,"PINK94884522;AQUA19812739,BLUE45419149,GREY35581554,GREY38438367,GREY42267021,NAVY37870412,NAVY41012298,PINK18536433,PINK69642917,PINK71322559,PINK72430606,PLUM08455602,PLUM65504375,ROSE17989277,ROSE91288551,RUBY07917450,TEAL00613247,TEAL17890235,TEAL36743607,TEAL73744612",2234
17-May-2017,3,38,19,20,30,24,41,2,Merlin,"BLUE79256145;AQUA49137026,AQUA53005884,AQUA63861976,AQUA77889382,BLUE71009219,GOLD20089644,JADE40122609,JADE99435851,NAVY45785943,NAVY48507274,NAVY72840417,PINK17949015,PINK22069965,PINK72086168,PINK98494730,PLUM65442605,PLUM75286010,ROSE00047886,RUBY54691423,TEAL14585780",2233
13-May-2017,57,7,21,23,14,15,52,2,Arthur,"TEAL51218531;BLUE13111318,GOLD66358328,GOLD74188574,GREY84661611,GREY98538788,JADE09020235,JADE38278809,JADE45068630,JADE69421514,LIME36882534,LIME57787692,NAVY49814037,PINK74080207,PLUM15419313,ROSE41322459,ROSE79172175,RUBY07366863,RUBY45351680,RUBY78938068,TEAL39781789",2232
10-May-2017,35,58,17,7,12,37,25,4,Merlin,"PINK39141826;AQUA64983278,BLUE13621112,GOLD15499266,GOLD22175034,GREY03609391,GREY35950253,GREY40338438,GREY70091093,GREY78055371,JADE72477225,LIME01613762,LIME80177260,PINK20041406,PINK60663644,PINK96068386,PLUM33879722,PLUM61649679,PLUM93314995,RUBY05578840,TEAL71718286",2231
06-May-2017,48,5,39,34,36,38,30,2,Merlin,"LIME82818666;GREY27497130,GREY31459178,JADE69734392,LIME51712132,LIME64577858,LIME69981172,PINK81214270,PINK96755464,PLUM65401756,ROSE67955994,ROSE69466299,ROSE78973169,RUBY05833913,RUBY27378827,RUBY52548933,RUBY55166908,TEAL09362305,TEAL12733608,TEAL23252948,TEAL65055919",2230
03-May-2017,41,24,13,57,34,22,40,3,Arthur,"GREY56481006;AQUA06219569,AQUA06340476,AQUA14976125,AQUA29424609,AQUA83147505,GREY00990590,GREY49573730,GREY56631694,GREY60965115,GREY62313507,JADE19221285,JADE54619601,JADE66794085,LIME26115652,PINK29282809,PLUM93129841,ROSE42901818,RUBY72069324,TEAL44862958,TEAL69884056",2229
29-Apr-2017,48,36,24,29,46,30,7,1,Merlin,"GOLD86835923;AQUA05857698,BLUE31461193,BLUE40337640,BLUE62157951,BLUE93657110,GOLD60940963,GOLD70653863,LIME28359627,LIME97326461,PINK25572725,PINK38761701,PINK39847187,PLUM53616950,PLUM57924105,ROSE09367894,ROSE74459304,RUBY34306213,RUBY77631848,RUBY83243883,TEAL48865480",2228
26-Apr-2017,47,43,15,12,59,30,41,4,Merlin,"AQUA55995162;AQUA44594736,BLUE17245592,BLUE96266742,GOLD20531110,GOLD97030439,GREY08923701,GREY43182446,JADE78838345,JADE91273276,LIME26447660,NAVY25540528,NAVY98301791,PINK06188348,PINK41424127,ROSE42900584,RUBY08594981,RUBY74236363,TEAL04392141,TEAL59500552,TEAL90632648",2227
22-Apr-2017,52,37,42,6,4,34,24,3,Merlin,"PINK88893711;AQUA55247870,BLUE27052707,BLUE28829565,GOLD74124828,JADE45318473,JADE64689254,JADE66556507,LIME56585868,LIME98763092,NAVY02457399,NAVY57951090,NAVY88536375,PINK02075444,PINK89553312,PLUM34274423,ROSE02657403,ROSE24408078,ROSE59953527,ROSE97647659,TEAL81156668",2226
19-Apr-2017,4,47,27,54,55,59,45,2,Merlin,"RUBY00451201;AQUA25430627,BLUE86513127,GOLD67694852,GOLD78136362,GREY62331822,JADE26455849,JADE28197885,JADE75290281,LIME79035001,NAVY21859152,NAVY96077560,PLUM02527226,PLUM49489524,PLUM90797321,ROSE11287927,RUBY11076663,RUBY34500945,TEAL44535544,TEAL54054345,TEAL92810547",2225
15-Apr-2017,31,19,8,16,10,23,48,1,Arthur,"AQUA16146448;GOLD06147011,GOLD11929587,GOLD41330451,GOLD47143723,GREY11472890,GREY96000322,GREY97958397,JADE56847143,JADE74479093,JADE87904780,NAVY24168780,NAVY43638862,PINK44802966,PINK72613321,PLUM33291532,PLUM43452577,ROSE19903744,RUBY39906972,RUBY83626059,TEAL80613064",2224
12-Apr-2017,34,52,42,3,16,49,50,4,Arthur,"BLUE25256970;BLUE10942104,BLUE34011197,BLUE93279275,GOLD44011708,GOLD58743730,GOLD62871779,GOLD95047001,GREY41703532,GREY71669790,JADE26745100,JADE55030027,LIME54558198,NAVY19710665,PINK06657195,PLUM53261434,ROSE39596800,ROSE54337574,RUBY97594194,TEAL46202679,TEAL93694589",2223
08-Apr-2017,50,36,47,23,14,45,21,3,Arthur,"GREY34828937;AQUA99495529,BLUE31800094,BLUE49736382,BLUE82333586,GOLD08488564,GOLD78580687,JADE40242923,JADE93986596,LIME47084463,LIME72877638,LIME73608435,LIME96693631,PINK94070897,PLUM60619027,PLUM75809036,ROSE13602365,ROSE82536466,RUBY12208676,RUBY33385129,RUBY72890269",2222
05-Apr-2017,10,18,16,32,45,42,30,1,Merlin,"BLUE33642169;AQUA04967758,AQUA08403451,AQUA74787347,BLUE72361132,GOLD06104366,GOLD34047854,GOLD68293745,GREY02602787,GREY65574913,JADE86982051,LIME18161483,LIME39795508,LIME84646178,PINK18456870,PINK48913234,PLUM80198963,ROSE20866630,ROSE23773478,RUBY72579864,RUBY81685653",2221
01-Apr-2017,54,11,1,23,2,25,14,4,Arthur,"AQUA63237030;AQUA46646685,BLUE74011633,GOLD27416405,GOLD38106927,GOLD82257342,GREY39083573,JADE82718890,JADE86400908,LIME43144110,NAVY98720872,PINK43070478,PINK56450301,PLUM34123670,PLUM47712958,PLUM87954457,ROSE73831281,RUBY14391492,RUBY32421243,TEAL42109696,TEAL96178462",2220
29-Mar-2017,32,16,5,51,42,6,39,2,Merlin,"TEAL99263611;AQUA13801211,AQUA60225557,GOLD33833057,GOLD66390356,GOLD71939959,GOLD91174090,GOLD94323700,GREY43206902,JADE26483390,JADE26958180,LIME18712943,LIME92274064,NAVY42325810,PINK05221388,PLUM16704145,ROSE00291218,ROSE91493883,RUBY30234760,TEAL18094415,TEAL70020268",2219
25-Mar-2017,54,53,58,48,39,52,28,3,Arthur,"GOLD03804299;AQUA08445233,BLUE83849782,GOLD37757118,GOLD78912014,GREY23191243,GREY60736457,JADE48800322,LIME50760974,LIME98768752,NAVY21651253,PINK10997518,PINK89356757,ROSE02861419,RUBY04978335,RUBY40393215,RUBY67695095,RUBY77799059,RUBY86215291,TEAL62734354,TEAL71018701",2218
22-Mar-2017,12,6,11,31,27,19,42,1,Merlin,"TEAL49950879;AQUA74620960,BLUE39433192,JADE08005665,JADE14706614,JADE75995204,LIME19964442,LIME28397957,NAVY42403713,NAVY48585431,NAVY57184708,PINK45635540,PLUM07747396,PLUM63745794,PLUM91800798,ROSE01277595,ROSE49042222,TEAL38820886,TEAL42903662,TEAL49917008,TEAL73230558",2217
18-Mar-2017,26,37,8,3,19,41,43,3,Merlin,"LIME10847228;AQUA54933998,AQUA95423141,BLUE51654811,BLUE70867148,GOLD46013205,GOLD71380140,GOLD88076440,GREY94944345,JADE57923631,JADE65006706,LIME15452604,LIME32738253,NAVY02677592,NAVY05521620,NAVY08538790,PINK51486301,PLUM04924821,ROSE89436579,ROSE99368997,RUBY43210409",2216
15-Mar-2017,27,58,6,39,24,38,55,3,Merlin,"GREY55245870;AQUA65074291,AQUA89904324,BLUE35163879,BLUE98456311,GOLD10606421,GOLD88487763,GREY12925251,GREY33936311,GREY37000679,GREY62304821,JADE09309200,NAVY86010183,PINK17570577,ROSE15269733,ROSE52171328,ROSE96275094,RUBY06616222,RUBY21457487,RUBY45111230,TEAL65954935",2215
11-Mar-2017,55,15,57,23,6,29,46,2,Arthur,"TEAL14398533;AQUA55718374,AQUA64544295,BLUE43835649,BLUE74572786,BLUE91639523,GOLD69557110,GOLD82939291,GREY57846385,GREY63105644,GREY69903951,GREY79692057,JADE25656854,JADE61069351,JADE62376450,LIME53033522,PLUM80564430,ROSE63248920,RUBY93425364,TEAL41962852,TEAL74111298",2214
08-Mar-2017,43,42,19,22,11,49,48,4,Arthur,"BLUE45988728;AQUA68779299,BLUE01868807,BLUE55394104,GOLD69715267,GOLD85858393,GREY11977119,GREY21306232,GREY38416412,GREY69689226,GREY79247237,JADE11805424,JADE56635016,LIME37552753,LIME39176577,LIME88364528,PINK08674852,RUBY24696735,RUBY39606157,TEAL19299004,TEAL59505400",2213
04-Mar-2017,56,39,49,38,24,40,21,1,Merlin,"BLUE21740338;BLUE47212537,GOLD54409611,GOLD77860313,GREY50986571,JADE25214617,LIME00245671,NAVY26440055,NAVY66561626,NAVY89653785,PINK29591537,PINK64504654,PLUM12001135,PLUM63237577,PLUM76457230,ROSE14823478,ROSE58636499,ROSE68457818,ROSE72366063,RUBY99009175,TEAL18139646",2212
01-Mar-2017,47,2,53,21,7,22,42,2,Arthur,"AQUA67785727;AQUA52496054,AQUA72842215,BLUE84695781,GOLD26865873,GOLD32322778,GREY29282841,JADE17051921,JADE25788033,JADE93896822,JADE97896922,LIME31290876,LIME73473615,ROSE53578537,ROSE92738725,RUBY00674961,RUBY47174988,RUBY59847824,RUBY69774574,RUBY96655808,TEAL53041416",2211
25-Feb-2017,34,41,38,24,18,49,26,4,Merlin,"GOLD87219606;AQUA24328776,AQUA41938442,AQUA48370692,BLUE30712485,BLUE97876309,BLUE99455021,GOLD49257754,JADE51330664,JADE57156902,NAVY05087659,NAVY20971308,PINK82163965,PLUM40077774,PLUM51830515,PLUM62959443,ROSE09034712,ROSE23810076,ROSE52735674,TEAL52047930,TEAL61365264",2210
22-Feb-2017,1,38,54,31,28,16,5,1,Arthur,"BLUE33925249;AQUA08608545,AQUA57563465,AQUA74028077,AQUA89379186,BLUE82328303,GOLD34037304,GREY09836410,JADE19125579,JADE29531115,JADE55229471,LIME14279583,LIME79504748,NAVY11465589,NAVY50022049,PLUM55333494,ROSE06232385,ROSE98611454,RUBY46382445,RUBY50445219,TEAL59544729",2209
18-Feb-2017,59,11,21,49,13,37,4,3,Merlin,"AQUA56814988;BLUE55575461,BLUE58064956,BLUE91014731,GOLD33355783,GOLD34140781,GOLD50164417,GREY05152869,JADE75506496,LIME25297511,LIME25886686,LIME83008806,NAVY97330773,PINK55874189,PLUM51317948,ROSE02442950,ROSE53001493,TEAL48262928,TEAL67717374,TEAL84140637,TEAL96769977",2208
15-Feb-2017,47,23,56,38,28,17,31,4,Arthur,"BLUE69460642;AQUA39757846,AQUA96824851,BLUE67209352,GOLD36232651,JADE12014879,JADE53168061,JADE66313797,LIME99365445,PINK32131643,PINK33615496,PINK38945288,PINK97424901,PLUM13868379,PLUM23174070,PLUM24496892,PLUM55531629,ROSE37545692,RUBY64294207,TEAL40990171,TEAL75525747",2207
